Learning Rate & Momentum & Validation Loss & Validation Accuracy\\
lr:  0.001 , mo:  0.0 [3.6338405048466162, 0.091324200913242]
lr:  0.001 , mo:  0.2 [5.913912903228307, 0.1324200913242009]
lr:  0.001 , mo:  0.4 [2.413646768761552, 0.091324200913242]
lr:  0.001 , mo:  0.6 [2.412351030192963, 0.091324200913242]
lr:  0.001 , mo:  0.8 [2.4157854051894794, 0.091324200913242]
lr:  0.001 , mo:  0.9 [2.738295505308125, 0.091324200913242]
lr:  0.01 , mo:  0.0 [4.719604430133349, 0.091324200913242]
lr:  0.01 , mo:  0.2 [2.4079617833437985, 0.091324200913242]
lr:  0.01 , mo:  0.4 [3.5843820816850007, 0.091324200913242]
lr:  0.01 , mo:  0.6 [3.565922363708008, 0.08904109589041095]
lr:  0.01 , mo:  0.8 [2.4184361772450136, 0.091324200913242]
lr:  0.01 , mo:  0.9 [2.4208843561067974, 0.091324200913242]
lr:  0.1 , mo:  0.0 [3.5846150857672843, 0.091324200913242]
lr:  0.1 , mo:  0.2 [3.8318473797410593, 0.091324200913242]
lr:  0.1 , mo:  0.4 [4.72634423922186, 0.091324200913242]
lr:  0.1 , mo:  0.6 [5.91394509844584, 0.091324200913242]
lr:  0.1 , mo:  0.8 [4.76205281525442, 0.091324200913242]
lr:  0.1 , mo:  0.9 [4.760360930608288, 0.091324200913242]
lr:  0.2 , mo:  0.0 [3.584004205655834, 0.091324200913242]
lr:  0.2 , mo:  0.2 [3.5847189524402356, 0.091324200913242]
lr:  0.2 , mo:  0.4 [5.913481204477075, 0.091324200913242]
lr:  0.2 , mo:  0.6 [4.758570880106051, 0.091324200913242]
lr:  0.2 , mo:  0.8 [8.300861823776541, 0.091324200913242]
